パーツ番号,パーツ画像,ID変換画像,形状番号,独立(-1)後付け(0),親パーツ番号,色,内包パーツ数,ご飯の量,海苔のサイズ,パーツの最下部,ガイドライン付き画像
0,tanuki1.png,1,1,2,0,"1.0,1.0,1.0,1.0",3,300,1月1日,1,"line_image21.png, line_image81.png, line_image91.png"
1,tanuki2.png,1,1,3,0,"0.7490196078431373,0.5647058823529412,0.10980392156862745,1.0",2,170,1月1日,1,"line_image32.png, line_image52.png"
0,tanuki3.png,1,2,-1,1,"1.0,1.0,1.0,1.0",1,20,1月3日,1,line_image43.png
1,tanuki5.png,1,2,-1,1,"0.4980392156862745,0.3764705882352941,0.06274509803921569,1.0",2,50,1月2日,1,"line_image65.png, line_image75.png"
2,tanuki8.png,1,0,-1,0,"0.4980392156862745,0.3764705882352941,0.06274509803921569,1.0",0,10,1月4日,1,
3,tanuki9.png,1,0,-1,0,"0.4980392156862745,0.3764705882352941,0.06274509803921569,1.0",0,10,1月4日,1,
0,tanuki4.png,1,1,0,0,"0.0,0.0,0.0,1.0",0,0,1月6日,1,
1,tanuki6.png,1,1,0,1,"0.0,0.0,0.0,1.0",0,0,1月14日,1,
2,tanuki7.png,1,1,0,1,"0.0,0.0,0.0,1.0",0,0,1月14日,1,
